0,1,Industry,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 , ,58-63 Information and communication,25.0,31.0,46.0,58.0,54.0,64.0,51.0,,79.0,,46.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,26.0,,16.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",7.0,8.0,9.0,16.0,20.0,21.0,20.0,,,,,
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",20.0,22.0,29.0,34.0,39.0,41.0,40.0,,51.0,,43.0,
 , ,10-39 Manufacturing,19.0,19.0,23.0,32.0,37.0,37.0,40.0,,49.0,,42.0,
 , ,41-43 Construction,8.0,4.0,14.0,4.0,10.0,19.0,21.0,,31.0,,32.0,
 , ,45-56 Trade and transport etc.,19.0,27.0,26.0,31.0,36.0,40.0,37.0,,51.0,,38.0,
 , ,58-63 Information and communication,25.0,39.0,50.0,69.0,70.0,77.0,75.0,,74.0,,69.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,48.0,,46.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",27.0,16.0,44.0,39.0,47.0,40.0,35.0,,,,,
